customer_id,date,merchant,category,amount,direction,is_true_recurring
C0001,2026-01-01,Fuel,transport,29.74,debit,False
C0001,2026-01-02,Restaurant,eating_out,32.75,debit,False
C0001,2026-01-04,Coffee Shop,eating_out,3.74,debit,False
C0001,2026-01-04,Coffee Shop,eating_out,1.62,debit,False
C0001,2026-01-05,Online Retailer,shopping,25.19,debit,False
C0001,2026-01-06,Rail,transport,42.61,debit,False
C0001,2026-01-09,Gym,subscription,29.99,debit,True
C0001,2026-01-12,Online Retailer,shopping,8.58,debit,False
C0001,2026-01-12,Video Streaming,subscription,10.99,debit,True
C0001,2026-01-15,Electricity,utilities,70.53,debit,True
C0001,2026-01-15,Restaurant,eating_out,22.85,debit,False
C0001,2026-01-15,Supermarket,groceries,35.07,debit,False
C0001,2026-01-16,Fuel,transport,48.52,debit,False
C0001,2026-01-17,Cloud Storage,subscription,2.99,debit,True
C0001,2026-01-17,Online Retailer,shopping,66.02,debit,False
C0001,2026-01-19,Rent / Mortgage,housing,852.98,debit,True
C0001,2026-01-20,Supermarket,groceries,54.69,debit,False
C0001,2026-01-21,Rail,transport,34.58,debit,False
C0001,2026-01-21,Restaurant,eating_out,9.75,debit,False
C0001,2026-01-22,Supermarket,groceries,49.01,debit,False
C0001,2026-01-23,Coffee Shop,eating_out,5.46,debit,False
C0001,2026-01-24,Restaurant,eating_out,38.67,debit,False
C0001,2026-01-24,Supermarket,groceries,16.24,debit,False
C0001,2026-01-26,Coffee Shop,eating_out,16.12,debit,False
C0001,2026-01-26,Restaurant,eating_out,24.25,debit,False
C0001,2026-01-27,Employer Payroll,income,2733.33,credit,True
C0001,2026-01-28,Online Retailer,shopping,15.53,debit,False
C0001,2026-01-28,Restaurant,eating_out,72.22,debit,False
C0001,2026-01-29,Rail,transport,16.84,debit,False
C0001,2026-01-30,Supermarket,groceries,108.6,debit,False
C0001,2026-01-31,Restaurant,eating_out,16.78,debit,False
C0001,2026-02-01,Supermarket,groceries,44.15,debit,False
